New Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E09000002,Barking and Dagenham,4.68,6.26,7.18,7.15,6.55,7.05,7.46,5.71,6.30,6.56,6.38,6.28,7.54,8.24,9.89,10.00,10.40,10.74,9.74,10.17
E09000003,Barnet,7.42,8.49,8.64,8.46,9.12,9.83,9.16,8.47,9.70,10.06,10.05,10.16,12.14,13.30,14.05,13.70,14.45,14.19,15.11,16.1
E09000004,Bexley,5.56,6.29,6.57,6.73,6.79,7.19,6.97,6.29,6.72,6.77,6.53,6.68,7.69,8.47,9.44,10.01,10.04,9.61,9.20,10.51
E09000005,Brent,8.10,9.32,9.24,9.59,9.85,10.80,9.89,9.75,10.31,11.19,11.13,12.13,12.38,13.43,15.21,15.65,16.32,15.59,14.34,15.97
E09000006,Bromley,6.48,7.13,7.54,7.45,7.54,7.71,7.49,6.99,7.82,8.06,7.64,7.94,8.92,9.93,10.86,10.83,11.00,10.73,10.30,12.14
E09000007,Camden,9.71,9.24,10.40,10.29,10.38,11.40,11.97,11.15,12.63,13.96,13.30,15.15,17.43,17.13,18.53,19.40,18.23,18.27,19.12,19.13
E09000008,Croydon,5.82,6.60,7.23,7.33,7.38,7.96,7.82,6.80,7.17,7.27,7.41,7.54,7.82,8.98,10.18,10.73,10.46,10.95,10.38,11.42
E09000009,Ealing,7.09,8.47,8.68,8.96,8.88,9.22,9.66,8.07,9.61,9.42,9.94,10.93,12.28,14.34,14.73,14.88,14.16,14.79,13.29,15.36
E09000010,Enfield,6.03,7.38,7.31,7.83,7.76,8.17,8.44,7.76,8.00,8.26,8.26,8.43,9.16,10.35,12.16,13.01,12.94,12.37,12.69,12.93
E09000011,Greenwich,5.99,6.37,6.86,7.41,7.70,7.53,7.88,6.74,7.61,8.17,7.96,8.10,10.09,10.57,11.87,12.67,11.95,12.73,12.14,12.92
E09000012,Hackney,7.37,8.15,8.70,8.25,9.48,9.04,9.06,8.90,9.63,9.21,10.41,11.42,12.82,14.35,16.67,15.22,16.34,16.02,16.96,15.96
E09000013,Hammersmith and Fulham,8.55,9.30,9.83,10.80,10.80,11.67,11.76,11.07,12.36,13.11,12.48,14.45,16.95,19.27,19.21,19.08,20.04,17.34,18.66,19.12
E09000014,Haringey,7.03,7.53,7.80,8.15,8.09,8.59,9.02,8.38,9.50,9.96,10.28,11.32,12.56,13.68,14.96,16.08,15.67,14.40,14.30,15.33
E09000015,Harrow,7.59,9.20,9.26,9.29,9.26,9.40,8.80,7.82,8.93,9.51,10.06,9.76,11.27,11.85,13.29,14.61,13.59,13.02,12.28,13.91
E09000016,Havering,5.63,6.54,6.91,6.73,7.02,7.52,7.20,6.54,7.09,7.29,6.88,7.34,7.99,8.73,9.78,10.61,10.54,10.77,10.41,11.15
E09000017,Hillingdon,6.47,7.28,7.56,7.87,8.55,8.39,8.65,7.94,8.26,8.13,7.96,8.34,9.33,10.33,11.64,13.13,13.56,13.15,12.09,12.96
E09000018,Hounslow,7.00,7.92,8.65,8.40,9.03,9.34,9.02,8.50,8.54,8.55,8.67,9.21,10.30,11.59,12.62,11.95,12.75,11.82,12.18,14.15
E09000019,Islington,8.71,8.83,8.67,8.94,8.91,10.28,10.84,9.99,10.95,11.18,10.64,12.55,13.57,16.27,16.51,16.24,13.09,13.73,13.92,14.61
E09000020,Kensington and Chelsea,10.68,10.77,10.04,10.86,11.19,15.48,15.26,13.89,15.93,16.50,21.32,20.99,25.28,29.71,30.38,29.15,33.43,27.64,26.24,24.78
E09000021,Kingston upon Thames,7.16,7.77,8.47,8.38,8.10,8.52,9.50,7.99,8.78,8.60,8.69,9.06,10.19,10.88,11.83,12.90,12.74,12.71,12.00,13.38
E09000022,Lambeth,8.02,7.59,8.38,8.21,8.98,9.36,9.49,8.19,8.97,8.95,9.85,10.14,12.43,13.53,15.01,15.03,13.82,14.39,13.40,13.75
E09000023,Lewisham,5.85,6.33,6.57,6.94,7.34,7.97,8.06,7.29,7.63,8.08,7.76,7.70,9.34,10.88,11.70,12.28,12.21,12.74,11.57,13.43
E09000024,Merton,6.81,7.27,7.90,7.84,8.57,8.50,8.44,7.56,8.60,8.93,8.59,9.43,11.48,11.98,13.44,12.82,12.91,12.40,11.55,15.97
E09000025,Newham,6.47,7.65,8.27,8.09,8.55,9.29,9.40,7.72,8.00,8.12,8.21,8.00,9.66,10.78,12.24,13.40,13.28,13.01,12.46,12.4
E09000026,Redbridge,6.22,7.08,8.27,7.96,7.86,7.97,7.60,7.01,7.19,7.76,8.02,8.39,8.76,9.51,11.26,12.50,12.79,12.00,11.76,13.23
E09000027,Richmond upon Thames,7.26,7.95,8.35,8.41,9.18,9.85,9.85,9.18,10.35,10.21,10.35,11.82,12.79,14.29,14.38,15.68,14.88,14.74,13.52,16.61
E09000028,Southwark,7.54,7.99,8.44,8.51,8.18,8.86,8.98,8.48,9.15,9.69,9.61,10.12,12.13,13.56,14.72,15.21,15.35,14.31,13.77,14.68
E09000029,Sutton,6.29,6.67,7.39,7.38,7.56,8.01,8.00,7.18,7.36,8.00,7.83,8.06,8.72,10.00,10.54,11.10,10.77,10.40,11.14,11.93
E09000030,Tower Hamlets,7.81,7.58,7.98,8.35,8.56,8.48,9.12,8.24,8.88,8.87,8.70,9.01,10.88,11.88,12.82,12.88,12.73,11.50,12.38,13.03
E09000031,Waltham Forest,5.69,6.62,7.20,7.55,7.64,8.37,8.28,7.40,7.81,8.51,8.27,8.96,10.68,12.13,13.20,14.08,13.55,12.66,12.52,13.99
E09000032,Wandsworth,7.52,8.07,8.48,8.59,9.31,10.53,10.30,9.14,9.79,10.64,10.89,11.75,13.12,13.78,15.12,16.38,14.80,14.38,14.54,14.66
E09000033,Westminster,11.01,11.41,10.57,11.30,12.32,12.86,12.93,13.27,12.11,14.59,14.09,18.69,20.38,20.52,23.48,24.36,23.60,21.60,22.23,20.37
