Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00AB,Barking and Dagenham,10.2,9.6,9.6,10.0,10.7,11.3,11.44,12.26,11.58,11.75,11.98,11.84,11.88,11.89,11.95,11.97,12.52,12.88,12.94,14.34
00AC,Barnet,11.9,12.8,12.8,12.8,13.0,12.8,13.76,14.83,14.60,15.18,14.72,14.95,14.45,14.37,14.61,15.75,15.61,16.00,15.84,16.82
00AD,Bexley,10.6,11.4,11.4,12.0,11.6,12.4,13.23,13.34,13.60,13.82,13.99,13.86,13.69,13.72,14.55,14.64,14.66,15.84,16.38,16.76
00AE,Brent,9.8,9.2,10.4,10.7,10.8,11.1,11.61,11.73,11.22,11.01,11.94,11.85,12.16,12.05,12.48,12.41,13.11,14.21,14.91,15.03
00AF,Bromley,12.5,12.9,12.8,13.0,13.8,14.8,15.45,15.94,15.35,15.40,16.28,16.48,16.41,16.44,17.25,17.23,17.77,18.41,19.92,18.48
00AG,Camden,13.2,13.4,13.6,15.0,15.2,16.4,17.24,17.20,16.36,17.01,17.23,17.96,17.93,16.93,18.05,17.72,18.18,19.17,18.80,19.64
00AH,Croydon,10.5,10.9,11.0,11.6,11.7,12.1,12.81,13.45,13.61,13.02,13.65,13.49,13.73,13.65,14.22,14.79,14.87,15.51,15.60,16.88
00AJ,Ealing,11.5,11.8,11.9,11.7,12.4,12.5,13.45,13.27,13.44,13.56,13.47,13.74,13.58,13.14,13.52,13.56,14.53,14.57,15.26,15.91
00AK,Enfield,10.0,10.4,10.8,11.4,11.7,12.5,11.99,12.43,12.55,13.05,13.01,12.52,12.83,12.92,12.74,13.41,12.65,13.67,14.66,14.54
00AL,Greenwich,11.2,12.0,12.2,11.7,12.4,12.4,13.27,14.35,13.79,13.88,13.33,14.31,13.96,14.68,14.99,15.50,15.79,15.85,15.76,17.03
00AM,Hackney,10.8,10.8,11.3,12.6,11.7,12.2,12.88,13.91,14.13,14.43,14.09,14.35,14.58,14.53,14.37,15.23,15.61,16.34,16.75,16.21
00AN,Hammersmith and Fulham,13.3,13.6,13.8,13.4,15.2,15.2,15.84,15.98,16.27,16.10,16.78,16.56,16.78,17.46,17.82,17.95,18.72,19.78,20.78,20.24
00AP,Haringey,10.7,11.9,11.9,12.2,13.0,12.7,13.14,13.67,13.42,13.13,13.63,13.40,13.17,13.42,13.98,14.90,15.39,16.14,16.25,16.10
00AQ,Harrow,10.5,11.1,11.3,11.8,12.1,12.6,13.09,14.44,14.28,13.37,13.53,13.39,14.25,13.84,15.27,15.33,15.33,16.73,17.86,16.84
00AR,Havering,10.9,11.2,12.4,12.8,12.1,13.0,13.79,13.74,13.72,14.30,13.95,13.72,13.72,14.45,14.69,14.79,15.06,15.34,16.20,16.92
00AS,Hillingdon,10.5,11.0,11.3,11.6,12.0,12.7,12.74,12.96,13.57,13.32,14.02,13.95,13.41,13.96,13.62,13.68,14.31,14.44,15.45,16.42
00AT,Hounslow,10.3,10.5,10.8,11.0,11.1,12.0,11.58,12.56,12.89,12.59,12.74,12.96,12.86,12.98,13.50,13.89,14.29,14.67,14.37,15.06
00AU,Islington,12.6,14.0,14.0,14.5,14.7,14.9,15.54,16.05,16.31,16.72,16.73,16.60,16.47,16.48,17.36,18.46,19.56,19.59,20.58,19.64
00AW,Kensington and Chelsea,16.7,17.5,19.9,20.1,18.7,18.7,22.65,22.85,21.51,21.57,18.59,20.07,18.30,18.13,17.20,21.29,20.04,21.13,22.60,22.63
00AX,Kingston upon Thames,11.9,12.2,12.2,12.9,13.9,15.1,14.87,15.66,14.95,16.73,16.43,16.87,16.62,16.55,16.61,16.30,18.05,18.05,17.79,18.66
00AY,Lambeth,11.0,12.3,12.3,12.7,12.2,13.7,13.46,14.88,16.03,15.03,15.43,14.80,14.97,14.72,15.26,16.42,16.61,17.47,18.53,18.31
00AZ,Lewisham,10.9,11.6,12.0,11.9,11.4,11.7,12.40,13.24,13.52,13.22,14.02,15.09,14.57,14.72,14.96,15.43,15.33,15.33,16.48,16.55
00BA,Merton,11.8,11.9,12.2,13.7,12.6,13.8,14.28,14.68,14.96,15.06,14.40,14.65,15.08,14.94,15.60,16.02,16.40,16.58,16.71,16.16
00BB,Newham,8.6,8.9,9.6,10.1,10.3,10.4,10.96,11.15,10.99,10.13,10.51,10.96,10.55,10.89,11.50,12.77,12.73,13.89,14.86,15.63
00BC,Redbridge,11.3,12.1,11.8,11.6,12.8,13.7,14.68,14.60,14.23,13.90,15.24,14.62,14.39,14.68,14.44,15.42,14.81,15.34,16.70,16.25
00BD,Richmond upon Thames,15.8,16.0,16.6,16.5,16.9,17.1,18.41,17.70,18.07,19.30,19.26,19.08,18.95,18.32,19.76,19.12,19.23,19.98,21.25,19.36
00BE,Southwark,10.7,11.4,11.3,11.9,12.3,12.8,13.79,14.52,14.45,14.37,14.82,14.59,14.50,15.37,15.25,16.14,16.37,17.24,17.97,18.14
00BF,Sutton,11.2,11.5,11.5,11.8,12.6,12.9,13.36,14.08,13.74,13.68,14.38,14.63,14.22,14.50,14.88,15.02,15.67,16.18,15.96,16.77
00BG,Tower Hamlets,11.8,12.2,13.1,13.6,13.4,14.8,14.83,15.41,15.64,15.28,15.55,15.93,16.16,15.05,15.66,16.86,17.25,19.15,19.16,19.41
00BH,Waltham Forest,10.6,11.6,11.5,11.4,11.5,12.1,12.43,12.94,12.88,12.50,12.62,12.39,12.26,12.87,13.31,13.47,14.37,15.44,16.51,17.46
00BJ,Wandsworth,13.7,13.7,14.0,14.8,15.3,15.6,16.80,17.60,17.71,17.86,17.53,17.91,17.89,18.13,19.11,18.93,19.60,20.50,20.63,20.72
00BK,Westminster,12.9,13.7,15.2,15.3,16.4,17.3,18.38,17.60,19.47,18.69,19.36,17.12,17.87,18.40,17.93,19.95,20.59,19.14,20.20,21.62
