,Borough,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,mean_crime_rate
0,Barking and Dagenham,120.5,123.6,124.0,122.6,133.2,129.5,132.7,127.9,115.6,115.9,111.7,104.9,100.7,90.5,82.9,81.9,86.5,80,86,86,90,87,87,105.24347826086958
1,Barnet,98.0,95.7,101.0,107.1,112.8,117.0,106.5,90.4,79.6,77.8,76.0,73.1,73.5,69.7,61.6,61.9,65.8,63,65,70,76,68,67,81.58695652173913
2,Bexley,95.1,96.3,96.9,90.1,92.5,85.4,90.0,76.1,74.8,71.3,67.7,59.6,52.3,52.7,50.0,51.2,52.2,53,58,62,70,63,60,70.44347826086957
3,Brent,127.7,122.7,123.4,124.3,133.6,132.6,129.7,110.2,99.3,93.5,97.4,96.8,101.2,86.6,77.1,78.3,80.6,82,85,87,92,88,81,101.30434782608695
4,Bromley,89.8,88.5,96.7,102.1,104.0,103.5,102.8,94.4,83.3,86.4,77.5,71.4,70.5,64.5,61.2,63.6,65.1,62,67,70,73,65,67,79.53478260869565
5,Camden,241.0,238.5,262.2,264.2,249.8,219.1,200.1,201.1,167.4,162.5,158.6,159.3,162.7,146.0,124.7,121.0,125.2,108,136,143,153,114,107,172.3652173913043
6,Croydon,113.7,105.4,111.8,115.1,110.3,103.8,102.8,92.6,88.9,93.9,94.1,90.2,89.8,84.3,75.7,76.6,76.4,75,76,80,82,83,82,91.45217391304347
7,Ealing,128.2,126.7,127.3,129.8,123.1,117.4,119.2,116.5,106.6,101.1,102.0,104.9,96.0,88.1,75.6,75.8,78.8,80,81,82,87,84,82,100.56956521739129
8,Enfield,104.8,101.9,106.0,107.0,106.4,99.7,96.5,94.1,86.7,82.5,81.0,76.9,73.0,71.0,70.6,68.7,69.9,68,74,83,87,85,85,86.03043478260871
9,Greenwich,141.4,131.3,133.3,140.9,139.8,137.3,136.0,127.5,129.4,119.6,105.1,96.8,87.7,81.2,74.4,78.2,79.9,80,86,89,94,86,87,107.03478260869566
10,Hackney,195.9,188.0,191.9,186.1,183.8,170.9,159.9,141.5,143.6,128.6,121.4,115.9,112.9,110.3,101.1,97.7,101.1,101,110,110,115,106,105,134.6782608695652
11,Hammersmith and Fulham,178.0,171.8,174.1,174.4,167.0,157.7,149.2,145.0,131.6,129.5,127.0,133.5,128.4,121.1,106.2,113.6,114.3,110,115,117,119,100,103,134.1913043478261
12,Haringey,155.9,149.2,170.2,173.8,163.6,157.0,154.3,131.2,124.5,112.0,103.1,97.3,101.4,90.3,83.8,89.0,95.4,102,110,115,115,105,106,121.95652173913044
13,Harrow,80.7,81.4,86.7,92.2,86.2,83.7,79.1,70.8,62.2,65.5,65.9,63.1,58.9,55.5,50.3,50.1,53.3,53,54,59,65,60,58,66.72173913043478
14,Havering,83.2,87.8,97.3,95.7,98.4,94.9,95.9,87.6,74.9,77.7,73.3,74.4,72.7,68.7,62.5,62.4,67.7,66,71,72,71,64,65,77.56956521739131
15,Hillingdon,107.2,108.7,118.4,118.2,118.3,111.8,112.9,110.6,102.7,97.4,91.0,87.3,86.9,73.2,67.2,75.2,73.8,81,88,90,95,84,79,94.68695652173913
16,Hounslow,144.8,135.2,138.6,151.4,140.5,127.2,121.7,107.3,101.2,99.8,95.1,95.7,97.2,86.9,75.0,78.4,81.6,82,89,93,93,86,83,104.50434782608697
17,Islington,218.7,202.2,209.7,218.9,225.6,209.9,201.9,190.2,160.2,153.0,144.5,140.3,131.0,132.0,114.1,118.6,123.6,114,133,123,125,106,102,156.40869565217392
18,Kensington and Chelsea,208.4,198.6,182.5,194.8,180.8,161.8,146.9,147.2,144.2,135.2,129.0,132.0,131.2,133.6,115.5,120.6,124.7,126,133,139,153,113,115,146.3478260869565
19,Kingston upon Thames,100.3,96.8,92.7,95.8,109.0,103.9,99.3,85.3,79.5,72.4,70.0,70.3,70.0,62.2,55.7,57.5,58.5,58,64,69,70,61,62,76.6608695652174
20,Lambeth,195.7,188.7,208.8,198.5,183.5,166.9,151.2,138.6,125.8,121.7,120.6,119.8,121.5,112.5,104.8,103.8,107.9,106,105,110,108,93,96,134.2739130434783
21,Lewisham,118.4,110.3,114.1,113.4,125.3,138.0,131.0,124.6,118.9,118.4,109.3,105.9,98.1,87.8,78.0,75.7,83.1,79,80,85,91,88,85,102.53478260869566
22,Merton,90.8,88.0,92.9,93.8,99.0,91.5,90.8,83.5,77.3,77.3,74.9,73.9,70.6,66.1,57.1,59.8,63.2,62,65,68,69,65,62,75.7173913043478
23,Newham,159.4,158.0,162.8,161.2,158.5,143.3,153.7,138.0,133.1,121.2,119.6,114.9,103.1,101.0,91.0,89.4,90.4,86,95,103,100,94,93,120.41739130434782
24,Redbridge,103.2,105.2,115.8,117.6,114.9,105.2,98.1,96.4,86.7,92.0,88.9,89.1,86.2,78.8,69.5,68.7,66.2,65,75,77,76,75,78,88.19565217391305
25,Richmond upon Thames,89.7,84.9,92.1,95.8,87.2,85.4,82.0,73.5,66.2,65.0,62.5,63.0,64.1,62.4,55.0,55.7,55.1,57,66,66,65,62,57,70.11304347826088
26,Southwark,176.5,160.0,178.0,179.3,181.3,170.1,158.3,148.4,146.8,141.8,131.8,127.7,119.4,111.6,104.5,99.6,101.7,100,104,114,123,100,98,133.73043478260868
27,Sutton,80.8,77.2,84.6,82.7,89.1,93.6,88.3,84.3,72.4,74.4,69.3,65.5,61.4,57.8,53.1,55.4,54.7,53,58,59,66,62,62,69.76521739130435
28,Tower Hamlets,176.1,177.9,185.4,198.6,187.8,172.0,158.2,149.4,137.1,119.5,112.2,115.3,115.0,110.6,99.5,96.3,97.4,91,95,104,104,95,97,130.18695652173915
29,Waltham Forest,122.3,116.5,136.3,144.2,137.9,131.1,132.9,125.4,109.3,108.4,109.9,108.4,95.8,93.2,83.1,77.5,80.4,76,80,86,84,84,79,104.41739130434784
30,Wandsworth,134.5,129.8,131.4,131.7,121.3,113.6,106.4,104.5,93.7,85.2,85.1,81.7,79.3,82.5,71.6,72.3,74.1,73,74,78,77,74,75,93.46521739130434
31,Westminster,463.0,424.4,424.3,414.0,375.8,369.8,320.8,297.4,289.8,289.6,295.1,294.7,302.0,277.0,238.3,206.9,203.1,189,215,255,312,184,189,296.9565217391305
